Company,Shortname,Link
Sanghvi Forging,SFE02,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/sanghviforgingengineering/SFE
Metalyst Forgin,AF01,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/metalystforgings/AF01
Hilton Metal,HMF,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/hiltonmetalforging/HMF
Setco Auto,GSC01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/setcoautomotive/SA14
Cummins,CI02,https://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02
Swaraj Engines,SE,https://www.moneycontrol.com/india/stockpricequote/engines/swarajengines/SE
India Nippon,INE,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/indianipponelectricals/INE
Rane Engine,REV,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/raneenginevalves/REV
JTEKT India ,SSS,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jtektindia/SKS04
Shanthi Gears,SG04,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/shanthigears/SG04
LG Balakrishnan,LGB,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/lgbalakrishnanbrothers/LGB
Rane Madras,RM07,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ranemadras/RM08
The Hi-Tech Gea,HTG,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/thehitechgears/HTG
Shivam Auto,SA12,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/shivamautotech/SA13
JMT Auto,JMT,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jmtauto/JMT02
Bharat Gears,BG01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bharatgears/BG01
Minda Ind,MI44,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mindaindustries/MI4
Lumax Inds,LI05,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/lumaxindustries/LI05
FIEM Ind,FIE,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/fiemindustries/FIE
Autolite India,AI31,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/autoliteindia/AI31
Endurance Techn,ET04,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01
WABCO India,WAB,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/wabcoindia/WAB
Suprajit Eng,SE15,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/suprajitengineering/SE15
